P	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	1	1	0	0	0	0	0	0	0	0	0	P	P	P	P	P	P	0	0	B_CITATION
52/02	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	5	0	0	0	0	0	1	0	0	0	0	0	5	52	52/	/02	02	2	0	0	I_CITATION

Le	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	2	0	1	0	0	0	0	0	0	0	0	0	L	Le	Le	Le	Le	e	0	0	I_CITATION
1er	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	3	0	0	0	0	0	1	0	0	0	0	0	1	1e	1er	1er	er	r	0	0	O
decembre	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	8	0	0	0	0	0	0	0	0	0	0	0	d	de	dec	bre	re	e	0	0	O
1999	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	4	0	0	0	0	0	1	0	0	0	0	0	1	19	199	999	99	9	0	0	O
,	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	,	,	,	,	,	,	0	0	O
H.	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	2	1	1	0	0	1	0	0	0	0	0	0	H	H.	H.	H.	H.	.	0	0	O
_	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	0	0	O
_	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	0	0	O
_	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	0	0	O
_	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	0	0	O
_	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	0	0	O
_	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	0	0	O
_	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	0	0	O
_	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	0	0	O
a	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	a	a	a	a	a	a	0	0	O
remis	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	5	0	0	0	0	0	0	0	0	0	0	0	r	re	rem	mis	is	s	0	0	O
a	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	a	a	a	a	a	a	0	0	O
l	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	l	l	l	l	l	l	0	0	O
'	0a56f5a9-e57f-4370-9c3d-0c5fd86cf339.txt	1	0	0	0	0	0	0	0	0	0	0	0	'	'	'	'	'	'	0	0	O
