Geschäfts-Nr.: LY120046-O/U	 #### LY120046	1	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
Mitwirkend: Oberrichterin lic. iur. A. Katzenstein, Vorsitzende, Oberrichterin Dr. L. Hunziker Schnider und Oberrichter lic. iur. P. Hodel sowie Gerichtsschreiber lic. iur. T. Engler.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Beschluss und Urteil vom 13. Februar 2013	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
in Sachen	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
A._____,	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Beklagter und Berufungskläger	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
unentgeltlich vertreten durch Rechtsanwältin lic. iur. X._____	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
gegen	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
B._____,	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Klägerin und Berufungsbeklagte	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
vertreten durch Rechtsanwalt lic. iur. Y._____	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
betreffend Ehescheidung (Abänderung vorsorglicher Massnahmen, Prozessbeistand nach Art. 299 ZPO)	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Berufung gegen eine Verfügung des Einzelgerichtes des Bezirksgerichtes Bülach vom 22. Oktober 2012; Proz. FE120007	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Erwägungen:	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
1.Die Parteien sind seit 1987 verheiratet und sind Eltern der vier gemeinsamen Kinder C._____ (geb. tt.mm.1991), D._____ (geb. tt.mm.1994), E._____ (geb. tt.mm.1997) und F._____ (geb. tt.mm.1999; vgl. act. 4/3/13-14).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Am 5. Februar 2010 schlossen die Parteien beim Eheschutzgericht am Bezirksgericht Bülach eine Eheschutzvereinbarung, gemäss welcher der heutige Beklagte und Berufungskläger (fortan Beklagter) der heutigen Klägerin und Berufungsbeklagten (fortan Klägerin) Unterhaltsbeiträge wie folgt bezahlte: je Fr. 900.00 zuzüglich Kinderzulagen für die drei damals noch unmündigen Kinder D._____, E._____ und F._____, sowie Fr. 1'200.00 für die Beklagte persönlich (act. 4/3/2).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Mit Verfügung vom 9. September 2010 wurde die erwähnte Vereinbarung sodann durch das Eheschutzgericht gestützt auf eine weitere Vereinbarung der Parteien abgeändert und wurden die Unterhaltsbeiträge auf je Fr. 750.00 für die drei unmündigen Kinder (zuzüglich Kinderzulagen) und Fr. 480.00 für die Beklagte persönlich reduziert (act. 4/3/3).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
