Geschäfts-Nr.: HG120259-O U/dz	 #### HG120259	1	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
Mitwirkend: Oberrichter Dr. George Daetwyler, Vizepräsident, und Ersatzoberrichterin Flurina Schorta, die Handelsrichter Christoph Pfenninger, Werner Furrer und Franz Ramser sowie Gerichtsschreiberin Claudia Feier	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Urteil vom 9. Juli 2014	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
in Sachen	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
A._____B._____ AG,	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Klägerin	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
vertreten durch Rechtsanwalt Dr. iur. X1._____	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
vertreten durch Rechtsanwalt Dr. iur. X2._____	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
gegen	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
C._____ Holding AG,	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Beklagte	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
vertreten durch Rechtsanwalt Dr. iur. et lic. oec. Y1._____	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
vertreten durch Rechtsanwältin lic. iur. Y2._____	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
betreffend Forderung	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Inhaltsverzeichnis	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Rechtsbegehren:	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Ursprüngliches Rechtsbegehren (act. 1 S. 2):	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
" 1. Es sei die Beklagte zu verpflichten, der Klägerin CHF 225'938.90 nebst Zins zu 5% seit dem 1. Dezember 2012 zu bezahlen.	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
2. Unter Kosten- und Entschädigungsfolgen zu Lasten der Beklagten."	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Reduziertes Rechtsbegehren (act. 20 S. 2):	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
" 1. Es sei die Beklagte zu verpflichten, der Klägerin CHF 125'938.90 nebst Zins zu 5% seit dem 1. Dezember 2012 zu bezahlen.	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
2. Unter Kosten- und Entschädigungsfolgen zu Lasten der Beklagten."	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
